DatGeracaoConjuntoDados;NumAno;DscClassificacao;DescricaoCategoria;SigAgente;NumCNPJ;NumOrdemIASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaSatisfacaoR2;MdaFidelidadeR2;MdaValorR2;MdaConfiancaR2;MdaPesoQualidadeInformacao;MdaPesoQualidadeAcesso;MdaPesoQualidadeConfiabilidade;MdaPesoSatisfacaoS1;MdaPesoSatisfacaoS2;MdaPesoSatisfacaoS3;MdaPesoFidelidadeV33;MdaPesoFidelidadeV34;MdaPesoFidelidadeV35;MdaPesoFidelidadeV36;MdaPesoValorV28;MdaPesoValorV29;MdaPesoValorV30;MdaPesoValorV31;MdaPesoValorV91;MdaPesoConfiancaV37;MdaPesoConfiancaV38;MdaPesoConfiancaV39;MdaPesoConfiancaV40;MdaMediaQualidadeInformacaoV15;MdaMediaQualidadeInformacaoV16;MdaMediaQualidadeInformacaoV21;MdaMediaQualidadeInformacaoV22;MdaMediaQualidadeInformacaoV23;MdaMediaQualidadeInformacaoV24;MdaMediaQualidadeInformacaoV90;MdaMediaQualidadeAcessoV10;MdaMediaQualidadeAcessoV11;MdaMediaQualidadeAcessoV12;MdaMediaQualidadeAcessoV17;MdaMediaQualidadeAcessoV19;MdaMediaQualidadeConfiabilidadeV8;MdaMediaQualidadeConfiabilidadeV9;MdaMediaQualidadeConfiabilidadeV13;MdaMediaQualidadeConfiabilidadeV14;MdaMediaQualidadeConfiabilidadeV18;MdaMediaQualidadeConfiabilidadeV20;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaFidelidadeV33;MdaMediaFidelidadeV34;MdaMediaFidelidadeV35;MdaMediaFidelidadeV36;MdaMediaFidelidadeV93;MdaMediaFidelidadeV94;MdaMediaValorV28;MdaMediaValorV29;MdaMediaValorV30;MdaMediaValorV31;MdaMediaValorV91;MdaMediaValorV92;MdaMediaConfiancaV37;MdaMediaConfiancaV38;MdaMediaConfiancaV39;MdaMediaConfiancaV40;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaQualidade;MdaMediaSatisfacao;MdaMediaFidelidade;MdaMediaValor;MdaMediaConfianca;MdaDsvPadQualidadeInformacaoV15;MdaDsvPadQualidadeInformacaoV16;MdaDsvPadQualidadeInformacaoV21;MdaDsvPadQualidadeInformacaoV22;MdaDsvPadQualidadeInformacaoV23;MdaDsvPadQualidadeInformacaoV24;MdaDsvPadQualidadeInformacaoV90;MdaDsvPadQualidadeAcessoV10;MdaDsvPadQualidadeAcessoV11;MdaDsvPadQualidadeAcessoV12;MdaDsvPadQualidadeAcessoV17;MdaDsvPadQualidadeAcessoV19;MdaDsvPadQualidadeConfiabilidadeV8;MdaDsvPadQualidadeConfiabilidadeV9;MdaDsvPadQualidadeConfiabilidadeV13;MdaDsvPadQualidadeConfiabilidadeV14;MdaDsvPadQualidadeConfiabilidadeV18;MdaDsvPadQualidadeConfiabilidadeV20;MdaDsvPadSatisfacaoS1;MdaDsvPadSatisfacaoS2;MdaDsvPadSatisfacaoS3;MdaDsvPadFidelidadeV33;MdaDsvPadFidelidadeV34;MdaDsvPadFidelidadeV35;MdaDsvPadFidelidadeV36;MdaDsvPadFidelidadeV93;MdaDsvPadFidelidadeV94;MdaDsvPadValorV28;MdaDsvPadValorV29;MdaDsvPadValorV30;MdaDsvPadValorV31;MdaDsvPadValorV91;MdaDsvPadValorV92;MdaDsvPadConfiancaV37;MdaDsvPadConfiancaV38;MdaDsvPadConfiancaV39;MdaDsvPadConfiancaV40;MdaDsvPadQualidadeInformacao;MdaDsvPadQualidadeAcesso;MdaDsvPadQualidadeConfiabilidade;MdaDsvPadQualidade;MdaDsvPadSatisfacao;MdaDsvPadFidelidade;MdaDsvPadValor;MdaDsvPadConfianca;MdaCoeficienteQualidadeValor;MdaCoeficienteQualidadeSatisfacao;MdaCoeficienteValorSatisfacao;MdaCoeficienteQualidadeConfianca;MdaCoeficienteSatisfacaoConfianca;MdaCoeficienteConfiancaFidelidade;MdaCoeficienteSatisfacaoFidelidade;QtdSexoV11;QtdSexoV12;QtdFaixaEtariaV21;QtdFaixaEtariaV22;QtdFaixaEtariaV23;QtdFaixaEtariaV24;QtdFaixaEtariaV25;QtdFaixaEtariaV26;QtdFaixaEtariaV27;QtdFaixaEtariaV28;QtdFaixaEtariaV29;QtdEscolaridadeV31;QtdEscolaridadeV32;QtdEscolaridadeV33;QtdEscolaridadeV34;QtdEscolaridadeV35;QtdEscolaridadeV36;QtdEscolaridadeV37;QtdEscolaridadeV38;QtdEscolaridadeV39;QtdRendaV41;QtdRendaV42;QtdRendaV43;QtdRendaV44;QtdRendaV45;QtdRendaV46;QtdRendaV47
13/06/2023;2019;Concessionária;Norte;Roraima Energia;2,34E+12;52;47,94;41,98;24,02;26,54;41,96;0,5949;0,1021;6,91E-02;0,6778;0,91115556;0,92323927;0,92898104;0,85974102;0,84922688;0,83105289;;0,83025629;0,91133137;0,89724337;;0,72199372;0,84690635;0,85442431;;0,86961241;0,89094706;0,89017637;0,84292428;5,254237;4,454545;6,050909;4,872483;5,124161;5,939189;;5,197917;5,680851;6,282143;6,832215;4,982206;4,652318;4,932886;5,25;5,455197;4,41;4,505085;4,706667;5,301325;4,316667;;3,24;3,117057;3,135762;;;;3,222591;3,464883;3,454237;;;4,322259;4,677852;4,923077;5,194539;5,282588;5,795066;4,867581;5,315078;4,774886;3,164273;3,380571;4,779432;2,896;2,798;2,464;2,773;2,769;2,732;;2,498;2,545;2,497;2,43;2,592;2,381;2,346;2,756;2,495;2,614;2,958;2,373;2,623;2,379;;2,084;2,035;2,178;;;;1,968;2,009;1,925;;;2,338;2,471;2,529;2,471;2,163;1,965;1,927;1,859;2,082;1,846;1,59;2,142;0,2628;0,638;0,2748;0,4297;0,447;0,1597;0,1759;119;183;2;34;58;80;48;56;24;0;0;0;84;22;20;112;19;42;3;0;101;147;31;17;5;1;0
13/06/2023;2019;Concessionária;Norte;CEA;5,97E+12;53;44;40,98;26,14;28,02;38,65;0,5819;8,95E-02;1,13E-02;0,5057;0,88968379;0,92765295;0,92837991;0,82003437;0,85500235;0,8123188;;0,86743437;0,94462793;0,9292097;;0,86590446;0,88050265;0,8668212;;0,83671759;0,88341837;0,85911034;0,84026841;4,80339;4,106312;5,492958;4,910959;5,036667;5,493377;;4,748344;4,826531;5,504983;6,290429;4,424242;4,914191;4,857616;4,608997;4,932203;4,105611;5,069767;4,763158;5,085809;4,192691;;3,462046;3,271523;3,332237;;;;3,338816;3,506579;3,72093;;;4,253333;4,224422;4,559211;4,887043;4,973944;5,158906;4,748064;4,960305;4,680553;3,355269;3,522108;4,481002;2,624;2,654;2,522;2,496;2,693;2,457;;2,423;2,644;2,69;2,61;2,55;2,267;2,42;2,602;2,514;2,424;2,634;2,249;2,543;2,4;;2,276;2,336;2,347;;;;2,136;2,075;1,979;;;2,155;2,176;2,235;2,216;1,927;1,986;1,867;1,763;1,99;2,121;1,797;1,877;0,1061;0,7172;0,1853;0,3719;0,3866;0,1693;0,1565;112;192;0;27;55;73;53;53;42;1;0;0;59;19;23;118;22;59;4;0;84;117;52;34;10;6;1
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coopercocal;8,65E+13;1;93,45;90,47;60,09;47,05;90,27;0,581;0,1127;4,16E-02;0,3312;0,90402103;0,91067953;0,92626035;0,78688041;0,78310281;0,73957183;;0,82671741;0,9313186;0,89939401;;0,8828054;0,92738325;0,93420457;;0,8227527;0,83488486;0,81597687;0,6151579;9,260563;9,246575;9,528986;9,222222;9,465753;9,47619;;9,458904;9,4;9,604167;9,604027;9,280576;9,342282;9,516779;9,446809;9,417266;9,285714;9,365517;9,413333;9,48;8,496644;;6,827586;6,147887;6,291667;;;;5,134228;5,342466;5,222222;;;8,965986;9,067114;9,366667;9,090909;9,366715;9,469535;9,395728;9,410659;9,129993;6,42238;5,232972;9,122669;1,398;1,359;1,011;1,481;1,286;1,166;;1,159;1,35;1,057;0,896;1,036;1,098;0,887;0,895;0,969;1,248;1,325;0,928;1,06;1,725;;2,798;3,023;3,063;;;;2,319;2,212;2,254;;;1,313;1,202;0,999;1,519;0,996;0,822;0,831;0,806;0,955;2,628;2,068;0,964;0,2041;0,6687;0,2342;0,3093;0,3051;0,1603;0,2154;63;87;1;9;17;11;45;42;25;0;0;0;59;40;10;31;4;4;2;0;27;80;27;13;2;0;1
13/06/2023;2019;Permissionária;Permissionárias até 10 mil unidades consumidoras;Coopermila;7,56E+13;2;92,67;90,12;63,95;43,33;90,88;0,3581;0,1413;4,00E-02;0,5364;0,95581273;0,95005611;0,92420496;0,69097784;0,76097271;0,71784698;;0,84091235;0,94955623;0,91955427;;0,87939967;0,94070486;0,867755;;0,71775928;0,91736209;0,91028041;0,84532915;9,012658;9,160494;9,649351;9,2;9,365854;9,447059;;9,571429;9,5375;9,566265;9,607143;9,26506;8,929412;9,154762;9,413793;9,325301;9,02381;9,364706;9,178571;9,576471;8,552941;;7,058824;6,554217;6,686747;;;;4,905882;4,811765;4,987805;;;9;9,070588;9,305882;9,313253;9,305903;9,509479;9,201964;9,339115;9,102661;6,766596;4,901817;9,172431;1,384;1,644;0,813;1,304;1,287;1,21;;0,835;0,912;1,026;0,926;1,597;1,326;1,19;0,887;1,048;1,327;1,55;1,382;0,822;1,658;;2,679;2,875;2,94;;;;2,313;2,228;2,286;;;1,363;1,438;1,165;1,068;1,032;0,816;1,008;0,898;0,932;2,562;2,038;1,067;0,2001;0,588;-8,50E-03;0,4323;0,3877;0,0785;0,2612;33;52;0;4;20;18;20;12;11;0;0;0;37;19;4;21;1;3;0;0;8;55;16;5;1;0;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceriluz;8,77E+13;3;91,43;89,26;72,02;43,19;89,33;0,4488;0,1785;3,20E-03;0,4442;0,94124288;0,95117351;0,94492779;0,8151922;0,65680954;0,80306984;;0,88988928;0,95469821;0,935135;;0,91365895;0,94415071;0,92065232;;0,86862313;0,87286593;0,89603611;0,85000887;8,856061;9,242647;9,583333;9,295455;9,4;9,30597;;9,318519;9,305344;9,566176;9,441176;9,267176;8,810219;8,911111;8,701493;9,242188;9,189781;9,294118;9,189781;9,423358;8,554745;;7,674074;7,335821;7,447761;;;;4,97037;4,87218;4,819549;;;8,846715;8,992701;9,226277;9,090226;9,280578;9,379678;9,024818;9,228358;9,055961;7,485885;4,887367;9,03898;1,762;1,234;0,883;1,034;1,158;1,346;;1,174;1,091;0,811;1,429;1,021;1,417;1,478;1,51;1,136;1,315;1,324;1,21;0,998;1,47;;2,082;2,416;2,344;;;;2,04;2,157;2,232;;;1,439;1,173;1,091;1,251;0,956;0,842;1,009;0,885;0,942;2,117;1,985;1,08;5,64E-02;0,6699;-0,0298;0,3467;0,3808;0,2446;0,2212;62;75;0;8;10;32;25;26;36;0;0;0;85;18;6;18;1;6;3;0;17;96;16;3;2;1;2
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Creluz-D;9,20E+13;4;88,8;86,49;69,19;38,29;86,88;0,5132;0,2315;4,00E-04;0,6081;0,88759586;0,92779833;0,92015845;0,74073519;0,83259228;0,76693057;;0,8737227;0,93169822;0,92016845;;0,85192347;0,93684767;0,90938671;;0,84352879;0,91390238;0,90138066;0,8639721;8,944444;8,731544;9,194444;8,986111;9,208054;9,14966;;9,020408;9,013986;9,337838;9,241611;9,055944;8,426667;8,527778;8,865169;9,093525;8,865772;9,053333;8,853333;9,12;8,351351;;7,38255;7,204082;7,103448;;;;4,340136;4,413793;4,57931;;;8,721088;8,77027;8,912752;8,870748;9,03571;9,133957;8,805374;8,99168;8,774895;7,230027;4,444413;8,818715;1,545;1,633;1,125;1,452;1,172;1,323;;1,256;1,479;1,033;1,283;1,225;1,672;1,634;1,1;1,105;1,369;1,273;1,095;1,164;1,642;;2,239;2,311;2,267;;;;1,93;1,79;2,071;;;1,34;1,199;1,269;1,265;1,096;1,019;1,003;0,947;1,017;2,065;1,735;1,116;2,03E-02;0,7131;5,44E-02;0,3926;0,4429;0,2521;0,2608;39;111;1;14;25;29;29;30;22;0;0;0;85;11;7;32;5;8;2;0;30;101;16;2;1;0;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cermissões;9,71E+13;5;85,7;86,04;61,77;35,9;86,71;0,7101;0,1973;0,01;0,6023;0,93908285;0,96118063;0,95991362;0,79899707;0,84425323;0,75653105;;0,91396034;0,95283417;0,95638003;;0,91606546;0,94948491;0,92119659;;0,87792476;0,91319583;0,92601001;0,8873087;8,534247;8,432432;8,916084;8,572414;8,702703;8,711409;;8,816327;8,513889;9,094595;8,826667;8,693878;8,724832;8,72;8,692982;8,780822;8,62585;8,677852;8,833333;9,02;8,34;;6,626667;6,5;6,554054;;;;4,228188;4,319728;4,142857;;;8,624161;8,704698;9,033784;8,842466;8,644881;8,789071;8,703723;8,712559;8,731111;6,56024;4,230258;8,801277;1,858;1,974;1,653;1,809;1,685;1,648;;1,605;2,003;1,363;1,864;1,729;1,446;1,627;1,542;1,582;2,011;1,862;1,292;1,416;1,82;;2,398;2,489;2,526;;;;1,967;1,942;1,865;;;1,689;1,468;1,261;1,403;1,505;1,444;1,407;1,384;1,206;2,326;1,788;1,31;9,99E-02;0,8135;0,1393;0,4069;0,4019;0,2151;0,2535;48;102;0;8;23;25;33;37;24;0;0;0;87;10;11;26;1;8;7;0;35;92;18;4;1;0;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coprel;9,07E+13;6;86,77;85,97;62,1;37,33;84,92;0,5656;0,2356;7,50E-03;0,535;0,93849108;0,94590316;0,93190019;0,73536041;0,82435117;0,78465595;;0,89209781;0,95639609;0,93907768;;0,86037019;0,92500004;0,89627704;;0,86910756;0,92177544;0,84529937;0,83524311;8,64539;8,77027;9,090278;8,633803;8,864865;8,959732;;8,958621;9,007143;9,108844;9,146667;8,8;8,590604;8,422819;8,346939;8,713235;8,703448;8,79021;8,825503;9,04;8,33557;;6,805369;6,355705;6,621622;;;;4,366667;4,304054;4,409722;;;8,52349;8,637584;8,758389;8,657534;8,82739;9,004255;8,594542;8,808729;8,733691;6,594232;4,360148;8,644249;1,542;1,581;1,269;1,582;1,496;1,331;;1,31;1,334;1,259;1,378;1,445;1,386;1,68;1,738;1,658;1,498;1,592;1,06;1,269;1,314;;2,634;2,64;2,539;;;;2,239;2,042;1,974;;;1,324;1,347;1,299;1,421;1,169;1,088;1,146;1,065;0,952;2,42;1,862;1,17;-8,67E-02;0,7481;-1,19E-02;0,3784;0,4017;0,2854;0,228;55;95;1;7;24;37;27;26;28;0;0;0;66;17;6;37;3;15;6;0;25;90;25;7;2;1;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Certel Energia;9,26E+12;7;85,84;84,75;61,98;38,65;83,96;0,5303;0,1053;2,40E-03;0,4063;0,87789501;0,93147022;0,92210419;0,76382733;0,8240875;0,79161333;;0,928892;0,95697964;0,96380997;;0,88123489;0,90547662;0,88967262;;0,85401951;0,91004486;0,88036989;0,90687671;8,233577;8,598639;8,93617;8,477612;8,755245;8,892617;;8,75;8,671642;9,076923;9,087248;8,715385;8,765101;8,689189;8,452381;8,853846;8,737589;8,484848;8,731544;8,973154;8,166667;;6,809524;6,409396;6,52381;;;;4,493333;4,364865;4,578231;;;8,416107;8,466667;8,76;8,582192;8,648977;8,86024;8,663826;8,724347;8,623788;6,58091;4,47881;8,556241;1,855;1,76;1,238;1,798;1,362;1,337;;1,42;1,38;1,165;1,588;1,453;1,486;1,741;1,184;1,232;1,417;1,902;1,23;1,321;1,392;;2,888;3,023;3,015;;;;2,308;2,315;2,288;;;1,327;1,384;1,252;1,32;1,136;1,097;1,029;0,99;1,043;2,827;2,055;1,173;4,90E-02;0,727;6,90E-03;0,3415;0,3443;0,1951;0,1652;64;86;0;9;37;32;17;25;30;0;0;0;51;21;11;44;10;10;3;0;23;82;31;14;0;0;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Coopera;8,36E+13;8;85,95;84,6;57,18;45,18;82,75;0,6184;8,45E-02;3,47E-02;0,6227;0,91624133;0,89082878;0,94582129;0,83352966;0,85947406;0,81423555;;0,8545205;0,95005127;0,92655303;;0,90759383;0,94212275;0,93553475;;0,84261448;0,88551723;0,90305211;0,86784403;8,485714;8,444444;8,892857;8,567376;8,764706;8,78;;8,827338;8,833333;9,165414;9,033557;8,676056;8,733333;8,753333;8,556701;8,666667;8,567568;8,631944;8,773333;8,933333;8,113333;;6,52;5,993197;5,959459;;;;5,040541;5,04698;5,110345;;;8,194444;8,304054;8,644295;8,633094;8,65585;8,90714;8,651591;8,738193;8,606667;6,157552;5,065955;8,443972;1,778;1,827;1,625;1,656;1,585;1,802;;1,605;1,604;1,443;1,661;1,491;1,34;1,558;1,839;1,648;1,739;1,917;1,281;1,413;1,685;;3,041;3,189;3,236;;;;2,331;2,398;2,309;;;1,781;1,69;1,457;1,502;1,379;1,263;1,251;1,191;1,219;2,875;2,178;1,405;0,1863;0,7076;0,2148;0,4157;0,4204;0,1354;0,1671;58;92;0;10;28;35;38;23;16;0;0;0;69;19;9;40;5;4;4;0;14;90;29;15;1;1;0
13/06/2023;2019;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cergapa;1,23E+12;9;88;83,96;44,32;36,92;84,87;0,4587;0,1722;3,00E-04;0,6031;0,93496329;0,9472154;0,92864435;0,8139303;0,80612243;0,76696373;;0,86574031;0,94837524;0,9221985;;0,91049706;0,91976176;0,91617063;;0,8378417;0,87645293;0,82959724;0,8107315;8,886364;8,616541;9,016;8,603175;8,804688;8,796992;;8,80303;9,279412;9,268657;9,242647;8,793651;8,810219;8,822222;8,921348;8,893443;8,755556;9,162963;8,810219;8,919708;7,904412;;5,268657;4,6;5,125;;;;4,323529;4,37037;4,274074;;;8,507576;8,427481;8,902985;8,728682;8,787293;9,077479;8,894292;8,919688;8,54478;4,997886;4,322658;8,641681;1,513;1,621;1,572;1,711;1,567;1,542;;1,574;1,276;1,158;1,326;1,651;1,412;1,49;1,415;1,338;1,536;1,313;1,246;1,486;1,992;;2,968;2,878;3,128;;;;2,491;2,511;2,559;;;1,541;1,525;1,387;1,566;1,215;1,066;1,045;1,039;1,252;2,728;2,307;1,262;1,65E-02;0,674;5,58E-02;0,4304;0,4177;0,2563;0,1264;44;93;1;11;15;28;37;26;19;0;0;0;74;10;9;25;2;8;9;0;23;70;28;15;0;1;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceraçá;9,36E+12;10;85,78;83,71;51,09;36,47;83,65;0,3675;8,63E-02;2,00E-04;0,4674;0,90257879;0,92321106;0,9073878;0,8366853;0,82593387;0,85733;;0,93277038;0,9407362;0,947064;;0,90811136;0,91669695;0,909264;;0,86529108;0,86539614;0,85123456;0,8826845;8,545455;8,413793;9,125874;8,725926;8,687943;8,840278;;8,680851;8,792593;9,306122;9,187919;8,482517;8,466667;8,44898;8,607143;8,77037;8,305556;8,673611;8,554054;8,817568;8,24;;5,843537;5,29932;5,652778;;;;4,161074;4,417808;4,267123;;;8,378378;8,533784;8,62585;8,576389;8,723211;8,890001;8,545388;8,719533;8,537207;5,598545;4,282002;8,5286;1,717;1,771;1,158;1,463;1,651;1,345;;1,411;1,136;1,007;1,387;1,506;1,329;1,471;1,405;1,29;1,48;1,678;1,516;1,405;1,496;;3,221;3,288;3,251;;;;2,335;2,052;2,099;;;1,534;1,454;1,281;1,426;1,083;0,974;1;0,928;1,237;3,059;1,97;1,234;0,0149;0,6025;5,82E-02;0,4086;0,3488;0,1371;0,1881;76;74;0;9;22;23;26;38;32;0;0;0;65;37;8;25;2;10;3;0;25;89;20;16;0;0;0
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceprag;7,83E+13;11;83,46;83,24;45,35;37,05;78,43;0,6095;6,56E-02;2,89E-02;0,6514;0,88544791;0,90680805;0,93597806;0,84634825;0,8561642;0,86364399;;0,86371882;0,95435627;0,91919074;;0,90197496;0,92693135;0,90315234;;0,91038061;0,91900954;0,90311994;0,8893995;7,395522;8,137931;8,787879;7,548387;7,827338;8,520548;;8,77305;8,875;9,006849;9,09396;8,518519;8,7;8,682432;8,203883;8,688406;8,787671;8,716312;8,733333;8,6;8,147651;;5,047619;5,013514;5,184932;;;;4,378378;4,285714;4,340136;;;7,945578;7,938356;8,413333;7,937063;8,036268;8,853475;8,629784;8,506509;8,493661;5,082021;4,334743;8,058583;2,647;2,345;1,699;2,502;2,485;2,077;;1,668;1,798;1,574;1,547;1,69;1,621;1,825;2,015;1,828;1,466;1,891;1,587;1,559;1,728;;2,952;3,109;3,139;;;;2,263;2,108;2,396;;;1,745;1,814;1,577;1,946;1,826;1,308;1,293;1,34;1,39;2,801;2,053;1,603;0,17;0,7327;0,1458;0,4165;0,4374;0,1095;0,1464;68;82;0;6;23;25;33;30;33;0;0;0;45;20;13;40;10;17;5;0;20;70;30;28;1;0;1
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cermoful;8,65E+13;12;87,76;82,92;44,52;37,03;79,48;0,4633;0,1517;2,16E-02;0,4026;0,8823347;0,88332168;0,91028462;0,79693539;0,80686371;0,72892564;;0,86233302;0,94215469;0,93829036;;0,84050463;0,90866278;0,89525591;;0,85736897;0,89922446;0,78400219;0,86187723;8,423611;8,197279;9,306569;8,539007;8,82069;8,911565;;8,979452;9,074074;9,285714;9,46;8,913043;9;9,080537;8,92233;8,755556;8,812081;8,557143;8,503356;9,020134;7,802721;;4,902778;5,095238;5,013699;;;;3,979592;4,37415;4,621622;;;7,701389;8,034014;8,724832;8,207143;8,699787;9,142457;8,854608;8,89895;8,44207;5,003905;4,325121;8,166844;2,227;2,29;1,309;2,032;1,625;1,776;;1,591;1,509;1,528;1,24;1,544;1,351;1,288;1,566;1,548;1,732;2,031;1,834;1,397;1,995;;3,178;3,353;3,322;;;;2,257;2,289;2,233;;;2,343;2,263;1,71;2,157;1,357;1,013;1,115;1,037;1,352;3,005;1,992;1,811;0,1471;0,6148;0,2046;0,3628;0,3289;0,2653;0,149;52;98;1;10;20;25;38;30;26;0;0;0;71;36;8;26;1;6;2;0;36;76;27;10;1;0;0
13/06/2023;2019;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral-Dis;1,05E+13;13;87,37;82,77;58,46;42,35;85,16;0,4833;0,1102;3,10E-03;0,6641;0,87226429;0,92044555;0,93321899;0,79796506;0,73437599;0,7613383;;0,92811975;0,92356184;0,94157653;;0,94182268;0,95550498;0,92228794;;0,89255479;0,90837761;0,94566853;0,85395435;8,409836;8,422535;9,294118;8,390625;8,608696;8,785714;;9,042254;9;9,375;9,082192;8,971014;8,465753;8,702703;9,135593;8,852941;8,712329;9,125;8,486486;9;7,878378;;6,418919;6,081081;6,283784;;;;4,554054;5,027027;4,851351;;;8,662162;8,472973;8,797297;8,722222;8,651921;9,094092;8,832387;8,859466;8,454955;6,261261;4,810811;8,663664;1,723;1,949;1,136;1,685;1,722;1,703;;1,438;1,499;1,066;1,628;1,324;1,737;1,702;1,255;1,624;1,802;1,384;1,492;1,443;2,346;;3,281;3,33;3,279;;;;3,185;3,132;3,086;;;1,889;1,852;1,508;1,657;1,361;0,944;1,223;1,067;1,353;3,07;2,946;1,553;5,53E-02;0,6844;8,45E-02;0,4597;0,4229;0,1497;0,196;36;38;0;8;12;18;17;13;6;0;0;0;15;16;2;15;3;18;5;0;16;24;15;14;3;2;0
13/06/2023;2019;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cergral;8,64E+13;14;82,31;82,23;44,22;37,48;77,49;0,708;0,191;1,81E-02;0,5867;0,8862567;0,90993598;0,91508328;0,8263305;0,82473733;0,82230082;;0,8807788;0,91086134;0,91848583;;0,85918027;0,89340667;0,89303707;;0,92937408;0,89104007;0,89496364;0,85527915;7,65493;7,979021;8,568345;7,093525;8,331081;8,377483;;8,66443;8,918919;9,081633;8,810458;8,486111;8,562092;8,751634;7,754237;8,496599;8,435374;8,517241;8,385621;8,768212;8,046667;;4,832215;4,94;5,16;;;;4,143791;4,470199;4,496599;;;7,872483;7,8;8,355263;7,866197;8,000731;8,79231;8,419529;8,40419;8,400167;4,977405;4,370196;7,973486;2,233;2,172;1,97;2,66;2,135;2,08;;1,761;1,612;1,533;1,802;1,828;1,585;1,429;2,411;2,079;1,868;2,131;1,857;1,715;1,876;;2,855;2,936;3,15;;;;2,298;2,279;2,357;;;2,213;2,221;1,858;1,991;1,708;1,393;1,447;1,369;1,497;2,694;2,039;1,851;0,1347;0,8025;0,1456;0,4057;0,3916;0,2307;0,2401;57;96;1;5;26;29;32;31;29;0;0;0;71;21;8;36;8;8;1;0;29;79;28;15;1;0;1
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cersul;8,65E+13;15;84,78;82,1;48,05;42,36;81,89;0,5382;7,67E-02;7,70E-03;0,5216;0,93642023;0,93178059;0,94699368;0,80581608;0,75721878;0,74956384;;0,89076334;0,91515539;0,92372709;;0,87016402;0,92903449;0,90785015;;0,81638753;0,89431639;0,89149337;0,87624576;8,263889;8,296774;8,689189;8,388489;8,469799;8,729032;;8,594595;8,851351;8,92053;8,793548;8,734694;8,696774;8,75;8,238938;8,680272;8,66;8,810811;8,56129;8,616883;7,973856;;5,614379;5,098684;5,268456;;;;4,741935;4,922078;4,768707;;;8,197368;8,190789;8,580645;8,5;8,472862;8,778944;8,639466;8,630424;8,38401;5,327173;4,810907;8,367201;2,054;2,004;2,051;1,952;2,078;1,803;;1,893;1,522;1,7;2,104;1,714;1,543;1,649;1,991;1,717;1,783;1,835;1,608;1,759;1,813;;3,026;2,991;2,997;;;;2,42;2,261;2,189;;;1,838;1,765;1,4;1,611;1,639;1,381;1,367;1,372;1,33;2,734;2,065;1,436;8,79E-02;0,7141;0,1058;0,4023;0,3706;0,1658;0,1355;65;90;0;14;26;28;35;35;17;0;0;0;72;22;5;35;8;11;2;0;31;86;25;12;0;0;1
13/06/2023;2019;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cergal;8,64E+13;16;83,06;81,82;50,56;38,04;79,72;0,689;0,2344;0,0114;0,5971;0,86038009;0,92061547;0,91998906;0,85760971;0,84985824;0,84798237;;0,86885408;0,92485897;0,91557869;;0,89470348;0,90505581;0,85917711;;0,89678622;0,93385707;0,8926628;0,87963657;7,870748;7,691781;8,804348;7,751773;8,321678;8,558621;;8,568493;9,020979;9,261745;8,255034;8,48951;8,42;8,553333;8,333333;8,496503;8,582192;8,731034;8,52349;8,64;7,926174;;5,513333;5,473333;5,66443;;;;4,233333;4,473333;4,57047;;;8,106667;8,1;8,42;8,073333;8,166492;8,719152;8,519399;8,468348;8,363221;5,550365;4,425712;8,175;2,67;2,796;1,806;2,477;2,166;1,931;;1,671;1,388;1,271;2,397;1,882;1,788;1,848;1,787;1,787;1,809;1,814;1,633;1,792;1,956;;3,2;3,108;3,299;;;;2,594;2,538;2,573;;;1,876;1,906;1,7;2,004;1,84;1,251;1,405;1,345;1,528;2,892;2,276;1,686;0,1069;0,795;0,1544;0,3889;0,4158;0,2741;0,2332;63;87;0;13;28;28;27;30;24;0;0;0;62;13;16;42;5;9;3;0;34;70;32;12;2;0;0
